state,county,candidate,party,total_votes,won
Kansas,Miami County,Donald Trump,REP,12116,TRUE
Kansas,Miami County,Joe Biden,DEM,5133,FALSE
Kansas,Miami County,Jo Jorgensen,LIB,375,FALSE
Kansas,Mitchell County,Donald Trump,REP,2454,TRUE
Kansas,Mitchell County,Joe Biden,DEM,547,FALSE
Kansas,Mitchell County,Jo Jorgensen,LIB,38,FALSE
Kansas,Montgomery County,Donald Trump,REP,9768,TRUE
Kansas,Montgomery County,Joe Biden,DEM,3147,FALSE
Kansas,Montgomery County,Jo Jorgensen,LIB,262,FALSE
Kansas,Morris County,Donald Trump,REP,2085,TRUE
Kansas,Morris County,Joe Biden,DEM,721,FALSE
Kansas,Morris County,Jo Jorgensen,LIB,43,FALSE
Kansas,Morton County,Donald Trump,REP,1004,TRUE
Kansas,Morton County,Joe Biden,DEM,147,FALSE
Kansas,Morton County,Jo Jorgensen,LIB,12,FALSE
Kansas,Nemaha County,Donald Trump,REP,4612,TRUE
Kansas,Nemaha County,Joe Biden,DEM,920,FALSE
Kansas,Nemaha County,Jo Jorgensen,LIB,93,FALSE
Kansas,Neosho County,Donald Trump,REP,4795,TRUE
Kansas,Neosho County,Joe Biden,DEM,1727,FALSE
Kansas,Neosho County,Jo Jorgensen,LIB,107,FALSE
Kansas,Ness County,Donald Trump,REP,1315,TRUE
Kansas,Ness County,Joe Biden,DEM,147,FALSE
Kansas,Ness County,Jo Jorgensen,LIB,25,FALSE
Kansas,Norton County,Donald Trump,REP,1977,TRUE
Kansas,Norton County,Joe Biden,DEM,361,FALSE
Kansas,Norton County,Jo Jorgensen,LIB,44,FALSE
Kansas,Norton County, Write-ins,WRI,8,FALSE
Kansas,Osage County,Donald Trump,REP,5591,TRUE
Kansas,Osage County,Joe Biden,DEM,2099,FALSE
Kansas,Osage County,Jo Jorgensen,LIB,188,FALSE
Kansas,Osage County, Write-ins,WRI,15,FALSE
Kansas,Osborne County,Donald Trump,REP,1590,TRUE
Kansas,Osborne County,Joe Biden,DEM,275,FALSE
Kansas,Osborne County,Jo Jorgensen,LIB,34,FALSE
Kansas,Ottawa County,Donald Trump,REP,2581,TRUE
Kansas,Ottawa County,Joe Biden,DEM,504,FALSE
Kansas,Ottawa County,Jo Jorgensen,LIB,74,FALSE
Kansas,Pawnee County,Donald Trump,REP,2028,TRUE
Kansas,Pawnee County,Joe Biden,DEM,635,FALSE
Kansas,Pawnee County,Jo Jorgensen,LIB,49,FALSE
Kansas,Phillips County,Donald Trump,REP,2855,TRUE
Kansas,Phillips County,Joe Biden,DEM,373,FALSE
Kansas,Phillips County,Jo Jorgensen,LIB,50,FALSE
Kansas,Pottawatomie County,Donald Trump,REP,9247,TRUE
Kansas,Pottawatomie County,Joe Biden,DEM,3257,FALSE
Kansas,Pottawatomie County,Jo Jorgensen,LIB,311,FALSE
Kansas,Pratt County,Donald Trump,REP,3087,TRUE
Kansas,Pratt County,Joe Biden,DEM,924,FALSE
Kansas,Pratt County,Jo Jorgensen,LIB,96,FALSE
Kansas,Rawlins County,Donald Trump,REP,1253,TRUE
Kansas,Rawlins County,Joe Biden,DEM,214,FALSE
Kansas,Rawlins County,Jo Jorgensen,LIB,29,FALSE
Kansas,Reno County,Donald Trump,REP,17948,TRUE
Kansas,Reno County,Joe Biden,DEM,8602,FALSE
Kansas,Reno County,Jo Jorgensen,LIB,579,FALSE
Kansas,Reno County, Write-ins,WRI,116,FALSE
Kansas,Republic County,Donald Trump,REP,2172,TRUE
Kansas,Republic County,Joe Biden,DEM,420,FALSE
Kansas,Republic County,Jo Jorgensen,LIB,51,FALSE
Kansas,Rice County,Donald Trump,REP,3187,TRUE
Kansas,Rice County,Joe Biden,DEM,953,FALSE
Kansas,Rice County,Jo Jorgensen,LIB,90,FALSE
Kansas,Riley County,Joe Biden,DEM,11940,TRUE
Kansas,Riley County,Donald Trump,REP,11174,FALSE
Kansas,Riley County,Jo Jorgensen,LIB,741,FALSE
Kansas,Rooks County,Donald Trump,REP,2294,TRUE
Kansas,Rooks County,Joe Biden,DEM,332,FALSE
Kansas,Rooks County,Jo Jorgensen,LIB,35,FALSE
Kansas,Rush County,Donald Trump,REP,1425,TRUE
Kansas,Rush County,Joe Biden,DEM,291,FALSE
Kansas,Rush County,Jo Jorgensen,LIB,32,FALSE
Kansas,Russell County,Donald Trump,REP,2765,TRUE
Kansas,Russell County,Joe Biden,DEM,591,FALSE
Kansas,Russell County,Jo Jorgensen,LIB,73,FALSE
Kansas,Saline County,Donald Trump,REP,15313,TRUE
Kansas,Saline County,Joe Biden,DEM,8022,FALSE
Kansas,Saline County,Jo Jorgensen,LIB,576,FALSE
Kansas,Scott County,Donald Trump,REP,1991,TRUE
Kansas,Scott County,Joe Biden,DEM,290,FALSE
Kansas,Scott County,Jo Jorgensen,LIB,41,FALSE
Kansas,Sedgwick County,Donald Trump,REP,117653,TRUE
Kansas,Sedgwick County,Joe Biden,DEM,90820,FALSE
Kansas,Sedgwick County,Jo Jorgensen,LIB,5079,FALSE
Kansas,Seward County,Donald Trump,REP,3285,TRUE
Kansas,Seward County,Joe Biden,DEM,1736,FALSE
Kansas,Seward County,Jo Jorgensen,LIB,78,FALSE
Kansas,Shawnee County,Joe Biden,DEM,42032,TRUE
Kansas,Shawnee County,Donald Trump,REP,39890,FALSE
Kansas,Shawnee County,Jo Jorgensen,LIB,2139,FALSE
Kansas,Sheridan County,Donald Trump,REP,1237,TRUE
Kansas,Sheridan County,Joe Biden,DEM,144,FALSE
Kansas,Sheridan County,Jo Jorgensen,LIB,16,FALSE
Kansas,Sheridan County, Write-ins,WRI,0,FALSE
Kansas,Sherman County,Donald Trump,REP,2222,TRUE
Kansas,Sherman County,Joe Biden,DEM,386,FALSE
Kansas,Sherman County,Jo Jorgensen,LIB,60,FALSE
Kansas,Sherman County, Write-ins,WRI,5,FALSE
Kansas,Smith County,Donald Trump,REP,1734,TRUE
Kansas,Smith County,Joe Biden,DEM,328,FALSE
Kansas,Smith County,Jo Jorgensen,LIB,30,FALSE
Kansas,Stafford County,Donald Trump,REP,1631,TRUE
Kansas,Stafford County,Joe Biden,DEM,355,FALSE
Kansas,Stafford County,Jo Jorgensen,LIB,31,FALSE
Kansas,Stanton County,Donald Trump,REP,607,TRUE
Kansas,Stanton County,Joe Biden,DEM,147,FALSE
Kansas,Stanton County,Jo Jorgensen,LIB,13,FALSE
Kansas,Stevens County,Donald Trump,REP,1731,TRUE
Kansas,Stevens County,Joe Biden,DEM,233,FALSE
Kansas,Stevens County,Jo Jorgensen,LIB,33,FALSE
Kansas,Sumner County,Donald Trump,REP,7998,TRUE
Kansas,Sumner County,Joe Biden,DEM,2551,FALSE
Kansas,Sumner County,Jo Jorgensen,LIB,230,FALSE
Kansas,Thomas County,Donald Trump,REP,3106,TRUE
Kansas,Thomas County,Joe Biden,DEM,622,FALSE
Kansas,Thomas County,Jo Jorgensen,LIB,54,FALSE
Kansas,Thomas County, Write-ins,WRI,12,FALSE
Kansas,Trego County,Donald Trump,REP,1341,TRUE
Kansas,Trego County,Joe Biden,DEM,238,FALSE
Kansas,Trego County,Jo Jorgensen,LIB,24,FALSE
Kansas,Wabaunsee County,Donald Trump,REP,2813,TRUE
Kansas,Wabaunsee County,Joe Biden,DEM,956,FALSE
Kansas,Wabaunsee County,Jo Jorgensen,LIB,92,FALSE
Kansas,Wallace County,Donald Trump,REP,762,TRUE
Kansas,Wallace County,Joe Biden,DEM,44,FALSE
Kansas,Wallace County,Jo Jorgensen,LIB,11,FALSE
Kansas,Washington County,Donald Trump,REP,2332,TRUE
Kansas,Washington County,Joe Biden,DEM,467,FALSE
Kansas,Washington County,Jo Jorgensen,LIB,44,FALSE
Kansas,Wichita County,Donald Trump,REP,803,TRUE
Kansas,Wichita County,Joe Biden,DEM,147,FALSE
Kansas,Wichita County,Jo Jorgensen,LIB,11,FALSE
Kansas,Wichita County, Write-ins,WRI,0,FALSE
Kansas,Wilson County,Donald Trump,REP,3111,TRUE
Kansas,Wilson County,Joe Biden,DEM,711,FALSE
Kansas,Wilson County,Jo Jorgensen,LIB,77,FALSE
Kansas,Woodson County,Donald Trump,REP,1189,TRUE
Kansas,Woodson County,Joe Biden,DEM,283,FALSE
Kansas,Woodson County,Jo Jorgensen,LIB,23,FALSE
Kansas,Wyandotte County,Joe Biden,DEM,35566,TRUE
Kansas,Wyandotte County,Donald Trump,REP,18512,FALSE
Kansas,Wyandotte County,Jo Jorgensen,LIB,1029,FALSE
Kentucky,Adair County,Donald Trump,REP,7275,TRUE
Kentucky,Adair County,Joe Biden,DEM,1391,FALSE
Kentucky,Adair County,Jo Jorgensen,LIB,60,FALSE
Kentucky,Adair County,Kanye West,IND,25,FALSE
Kentucky,Adair County,Brock Pierce,IND,10,FALSE
Kentucky,Adair County, Write-ins,WRI,5,FALSE
Kentucky,Allen County,Donald Trump,REP,7586,TRUE
Kentucky,Allen County,Joe Biden,DEM,1642,FALSE
Kentucky,Allen County,Jo Jorgensen,LIB,99,FALSE
Kentucky,Allen County,Kanye West,IND,22,FALSE
Kentucky,Allen County,Brock Pierce,IND,14,FALSE
Kentucky,Allen County, Write-ins,WRI,0,FALSE
Kentucky,Anderson County,Donald Trump,REP,9651,TRUE
Kentucky,Anderson County,Joe Biden,DEM,3339,FALSE
Kentucky,Anderson County,Jo Jorgensen,LIB,183,FALSE
Kentucky,Anderson County, Write-ins,WRI,35,FALSE
Kentucky,Anderson County,Kanye West,IND,34,FALSE
Kentucky,Anderson County,Brock Pierce,IND,19,FALSE
Kentucky,Ballard County,Donald Trump,REP,3356,TRUE
Kentucky,Ballard County,Joe Biden,DEM,825,FALSE
Kentucky,Ballard County,Jo Jorgensen,LIB,32,FALSE
Kentucky,Ballard County,Kanye West,IND,10,FALSE
Kentucky,Ballard County,Brock Pierce,IND,2,FALSE
Kentucky,Barren County,Donald Trump,REP,14646,TRUE
Kentucky,Barren County,Joe Biden,DEM,5115,FALSE
Kentucky,Barren County,Jo Jorgensen,LIB,201,FALSE
Kentucky,Barren County,Brock Pierce,IND,51,FALSE
Kentucky,Barren County,Kanye West,IND,51,FALSE
Kentucky,Barren County, Write-ins,WRI,15,FALSE
Kentucky,Bath County,Donald Trump,REP,3986,TRUE
Kentucky,Bath County,Joe Biden,DEM,1573,FALSE
Kentucky,Bath County,Jo Jorgensen,LIB,44,FALSE
Kentucky,Bath County,Brock Pierce,IND,12,FALSE
Kentucky,Bath County,Kanye West,IND,12,FALSE
Kentucky,Bath County, Write-ins,WRI,0,FALSE
Kentucky,Bell County,Donald Trump,REP,8140,TRUE
Kentucky,Bell County,Joe Biden,DEM,1789,FALSE
Kentucky,Bell County,Jo Jorgensen,LIB,78,FALSE
Kentucky,Bell County,Kanye West,IND,30,FALSE
Kentucky,Bell County,Brock Pierce,IND,7,FALSE
Kentucky,Boone County,Donald Trump,REP,44811,TRUE
Kentucky,Boone County,Joe Biden,DEM,20897,FALSE
Kentucky,Boone County,Jo Jorgensen,LIB,981,FALSE
Kentucky,Boone County,Kanye West,IND,171,FALSE
Kentucky,Boone County,Brock Pierce,IND,93,FALSE
Kentucky,Bourbon County,Donald Trump,REP,6190,TRUE
Kentucky,Bourbon County,Joe Biden,DEM,3296,FALSE
Kentucky,Bourbon County,Jo Jorgensen,LIB,106,FALSE
Kentucky,Bourbon County,Kanye West,IND,31,FALSE
Kentucky,Bourbon County,Brock Pierce,IND,20,FALSE
Kentucky,Boyd County,Donald Trump,REP,14295,TRUE
Kentucky,Boyd County,Joe Biden,DEM,7083,FALSE
Kentucky,Boyd County,Jo Jorgensen,LIB,287,FALSE
Kentucky,Boyd County,Kanye West,IND,55,FALSE
Kentucky,Boyd County,Brock Pierce,IND,21,FALSE
Kentucky,Boyle County,Donald Trump,REP,8872,TRUE
Kentucky,Boyle County,Joe Biden,DEM,5298,FALSE
Kentucky,Boyle County,Jo Jorgensen,LIB,210,FALSE
Kentucky,Boyle County,Kanye West,IND,63,FALSE
Kentucky,Boyle County,Brock Pierce,IND,24,FALSE
Kentucky,Bracken County,Donald Trump,REP,3397,TRUE
Kentucky,Bracken County,Joe Biden,DEM,799,FALSE
Kentucky,Bracken County,Jo Jorgensen,LIB,27,FALSE
Kentucky,Bracken County,Kanye West,IND,11,FALSE
Kentucky,Bracken County,Brock Pierce,IND,8,FALSE
Kentucky,Bracken County, Write-ins,WRI,2,FALSE
Kentucky,Breathitt County,Donald Trump,REP,4265,TRUE
Kentucky,Breathitt County,Joe Biden,DEM,1301,FALSE
Kentucky,Breathitt County,Jo Jorgensen,LIB,52,FALSE
Kentucky,Breathitt County,Kanye West,IND,31,FALSE
Kentucky,Breathitt County,Brock Pierce,IND,12,FALSE
Kentucky,Breathitt County, Write-ins,WRI,6,FALSE
Kentucky,Breckinridge County,Donald Trump,REP,7701,TRUE
Kentucky,Breckinridge County,Joe Biden,DEM,2350,FALSE
Kentucky,Breckinridge County,Jo Jorgensen,LIB,103,FALSE
Kentucky,Breckinridge County,Kanye West,IND,24,FALSE
Kentucky,Breckinridge County,Brock Pierce,IND,19,FALSE
Kentucky,Bullitt County,Donald Trump,REP,30708,TRUE
Kentucky,Bullitt County,Joe Biden,DEM,10551,FALSE
Kentucky,Bullitt County,Jo Jorgensen,LIB,563,FALSE
Kentucky,Bullitt County,Kanye West,IND,87,FALSE
Kentucky,Bullitt County,Brock Pierce,IND,55,FALSE
Kentucky,Butler County,Donald Trump,REP,4960,TRUE
Kentucky,Butler County,Joe Biden,DEM,1078,FALSE
Kentucky,Butler County,Jo Jorgensen,LIB,63,FALSE
Kentucky,Butler County,Brock Pierce,IND,12,FALSE
Kentucky,Butler County,Kanye West,IND,8,FALSE
Kentucky,Butler County, Write-ins,WRI,4,FALSE
Kentucky,Caldwell County,Donald Trump,REP,4905,TRUE
Kentucky,Caldwell County,Joe Biden,DEM,1432,FALSE
Kentucky,Caldwell County,Jo Jorgensen,LIB,58,FALSE
Kentucky,Caldwell County,Kanye West,IND,22,FALSE
Kentucky,Caldwell County, Write-ins,WRI,11,FALSE
Kentucky,Caldwell County,Brock Pierce,IND,8,FALSE
Kentucky,Calloway County,Donald Trump,REP,11351,TRUE
Kentucky,Calloway County,Joe Biden,DEM,5794,FALSE
Kentucky,Calloway County,Jo Jorgensen,LIB,227,FALSE
Kentucky,Calloway County,Kanye West,IND,44,FALSE
Kentucky,Calloway County,Brock Pierce,IND,27,FALSE
Kentucky,Campbell County,Donald Trump,REP,28482,TRUE
Kentucky,Campbell County,Joe Biden,DEM,19373,FALSE
Kentucky,Campbell County,Jo Jorgensen,LIB,763,FALSE
Kentucky,Campbell County,Kanye West,IND,133,FALSE
Kentucky,Campbell County,Brock Pierce,IND,82,FALSE
Kentucky,Carlisle County,Donald Trump,REP,2159,TRUE
Kentucky,Carlisle County,Joe Biden,DEM,463,FALSE
Kentucky,Carlisle County,Jo Jorgensen,LIB,15,FALSE
Kentucky,Carlisle County,Kanye West,IND,1,FALSE
Kentucky,Carlisle County,Brock Pierce,IND,0,FALSE
Kentucky,Carroll County,Donald Trump,REP,2954,TRUE
Kentucky,Carroll County,Joe Biden,DEM,1116,FALSE
Kentucky,Carroll County,Jo Jorgensen,LIB,44,FALSE
Kentucky,Carroll County,Kanye West,IND,13,FALSE
Kentucky,Carroll County,Brock Pierce,IND,8,FALSE
Kentucky,Carroll County, Write-ins,WRI,0,FALSE
Kentucky,Carter County,Donald Trump,REP,8775,TRUE
Kentucky,Carter County,Joe Biden,DEM,2642,FALSE
Kentucky,Carter County,Jo Jorgensen,LIB,107,FALSE
Kentucky,Carter County,Kanye West,IND,45,FALSE
Kentucky,Carter County,Brock Pierce,IND,16,FALSE
Kentucky,Casey County,Donald Trump,REP,6179,TRUE
Kentucky,Casey County,Joe Biden,DEM,918,FALSE
Kentucky,Casey County,Jo Jorgensen,LIB,53,FALSE
Kentucky,Casey County,Kanye West,IND,12,FALSE
Kentucky,Casey County,Brock Pierce,IND,9,FALSE
Kentucky,Casey County, Write-ins,WRI,9,FALSE
Kentucky,Christian County,Donald Trump,REP,15080,TRUE
Kentucky,Christian County,Joe Biden,DEM,8296,FALSE
Kentucky,Christian County,Jo Jorgensen,LIB,348,FALSE
Kentucky,Christian County,Kanye West,IND,95,FALSE
Kentucky,Christian County,Brock Pierce,IND,44,FALSE
Kentucky,Clark County,Donald Trump,REP,11811,TRUE
Kentucky,Clark County,Joe Biden,DEM,6004,FALSE
Kentucky,Clark County,Jo Jorgensen,LIB,226,FALSE
Kentucky,Clark County,Kanye West,IND,53,FALSE
Kentucky,Clark County,Brock Pierce,IND,34,FALSE
Kentucky,Clark County, Write-ins,WRI,0,FALSE
Kentucky,Clay County,Donald Trump,REP,6677,TRUE
Kentucky,Clay County,Joe Biden,DEM,831,FALSE
Kentucky,Clay County,Jo Jorgensen,LIB,40,FALSE
Kentucky,Clay County,Kanye West,IND,23,FALSE
Kentucky,Clay County,Brock Pierce,IND,19,FALSE
Kentucky,Clinton County,Donald Trump,REP,4280,TRUE
Kentucky,Clinton County,Joe Biden,DEM,603,FALSE
Kentucky,Clinton County,Jo Jorgensen,LIB,30,FALSE
Kentucky,Clinton County,Kanye West,IND,10,FALSE
Kentucky,Clinton County,Brock Pierce,IND,9,FALSE
Kentucky,Clinton County, Write-ins,WRI,0,FALSE
Kentucky,Crittenden County,Donald Trump,REP,3451,TRUE
Kentucky,Crittenden County,Joe Biden,DEM,731,FALSE
Kentucky,Crittenden County,Jo Jorgensen,LIB,47,FALSE
Kentucky,Crittenden County,Kanye West,IND,7,FALSE
Kentucky,Crittenden County,Brock Pierce,IND,6,FALSE
Kentucky,Cumberland County,Donald Trump,REP,2769,TRUE
Kentucky,Cumberland County,Joe Biden,DEM,508,FALSE
Kentucky,Cumberland County,Jo Jorgensen,LIB,21,FALSE
Kentucky,Cumberland County,Kanye West,IND,7,FALSE
Kentucky,Cumberland County,Brock Pierce,IND,4,FALSE
Kentucky,Daviess County,Donald Trump,REP,31023,TRUE
Kentucky,Daviess County,Joe Biden,DEM,17283,FALSE
Kentucky,Daviess County,Jo Jorgensen,LIB,670,FALSE
Kentucky,Daviess County,Kanye West,IND,168,FALSE
Kentucky,Daviess County,Brock Pierce,IND,96,FALSE
Kentucky,Edmonson County,Donald Trump,REP,4828,TRUE
Kentucky,Edmonson County,Joe Biden,DEM,1227,FALSE
Kentucky,Edmonson County,Jo Jorgensen,LIB,60,FALSE
Kentucky,Edmonson County,Kanye West,IND,10,FALSE
Kentucky,Edmonson County,Brock Pierce,IND,6,FALSE
Kentucky,Elliott County,Donald Trump,REP,2246,TRUE
Kentucky,Elliott County,Joe Biden,DEM,712,FALSE
Kentucky,Elliott County,Jo Jorgensen,LIB,18,FALSE
Kentucky,Elliott County,Brock Pierce,IND,10,FALSE
Kentucky,Elliott County,Kanye West,IND,9,FALSE
Kentucky,Estill County,Donald Trump,REP,5100,TRUE
Kentucky,Estill County,Joe Biden,DEM,1355,FALSE
Kentucky,Estill County,Jo Jorgensen,LIB,64,FALSE
Kentucky,Estill County,Kanye West,IND,16,FALSE
Kentucky,Estill County,Brock Pierce,IND,3,FALSE
Kentucky,Fayette County,Joe Biden,DEM,90566,TRUE
Kentucky,Fayette County,Donald Trump,REP,58845,FALSE
Kentucky,Fayette County,Jo Jorgensen,LIB,2382,FALSE
Kentucky,Fayette County,Kanye West,IND,562,FALSE
Kentucky,Fayette County,Brock Pierce,IND,309,FALSE
Kentucky,Fleming County,Donald Trump,REP,5534,TRUE
Kentucky,Fleming County,Joe Biden,DEM,1474,FALSE
Kentucky,Fleming County,Jo Jorgensen,LIB,37,FALSE
Kentucky,Fleming County,Kanye West,IND,16,FALSE
Kentucky,Fleming County,Brock Pierce,IND,5,FALSE
Kentucky,Floyd County,Donald Trump,REP,12211,TRUE
Kentucky,Floyd County,Joe Biden,DEM,3855,FALSE
Kentucky,Floyd County,Kanye West,IND,148,FALSE
Kentucky,Floyd County,Jo Jorgensen,LIB,108,FALSE
Kentucky,Floyd County,Brock Pierce,IND,37,FALSE
Kentucky,Floyd County, Write-ins,WRI,22,FALSE
Kentucky,Franklin County,Donald Trump,REP,12900,TRUE
Kentucky,Franklin County,Joe Biden,DEM,12650,FALSE
Kentucky,Franklin County,Jo Jorgensen,LIB,365,FALSE
Kentucky,Franklin County,Kanye West,IND,89,FALSE
Kentucky,Franklin County,Brock Pierce,IND,55,FALSE
Kentucky,Fulton County,Donald Trump,REP,1605,TRUE
Kentucky,Fulton County,Joe Biden,DEM,791,FALSE
Kentucky,Fulton County,Jo Jorgensen,LIB,18,FALSE
Kentucky,Fulton County,Brock Pierce,IND,5,FALSE
Kentucky,Fulton County,Kanye West,IND,2,FALSE
Kentucky,Gallatin County,Donald Trump,REP,2955,TRUE
Kentucky,Gallatin County,Joe Biden,DEM,822,FALSE
Kentucky,Gallatin County,Jo Jorgensen,LIB,58,FALSE
Kentucky,Gallatin County,Brock Pierce,IND,11,FALSE
Kentucky,Gallatin County,Kanye West,IND,3,FALSE
Kentucky,Garrard County,Donald Trump,REP,6754,TRUE
Kentucky,Garrard County,Joe Biden,DEM,1830,FALSE
Kentucky,Garrard County,Jo Jorgensen,LIB,86,FALSE
Kentucky,Garrard County,Kanye West,IND,25,FALSE
Kentucky,Garrard County,Brock Pierce,IND,8,FALSE
Kentucky,Grant County,Donald Trump,REP,8725,TRUE
Kentucky,Grant County,Joe Biden,DEM,2205,FALSE
Kentucky,Grant County,Jo Jorgensen,LIB,139,FALSE
Kentucky,Grant County,Kanye West,IND,20,FALSE
Kentucky,Grant County,Brock Pierce,IND,17,FALSE
Kentucky,Graves County,Donald Trump,REP,13206,TRUE
Kentucky,Graves County,Joe Biden,DEM,3559,FALSE
Kentucky,Graves County,Jo Jorgensen,LIB,187,FALSE
Kentucky,Graves County,Kanye West,IND,36,FALSE
Kentucky,Graves County,Brock Pierce,IND,30,FALSE
Kentucky,Grayson County,Donald Trump,REP,9453,TRUE
Kentucky,Grayson County,Joe Biden,DEM,2400,FALSE
Kentucky,Grayson County,Jo Jorgensen,LIB,85,FALSE
Kentucky,Grayson County,Kanye West,IND,33,FALSE
Kentucky,Grayson County,Brock Pierce,IND,12,FALSE
Kentucky,Green County,Donald Trump,REP,4838,TRUE
Kentucky,Green County,Joe Biden,DEM,920,FALSE
Kentucky,Green County,Jo Jorgensen,LIB,29,FALSE
Kentucky,Green County,Kanye West,IND,18,FALSE
Kentucky,Green County,Brock Pierce,IND,7,FALSE
Kentucky,Greenup County,Donald Trump,REP,13064,TRUE
Kentucky,Greenup County,Joe Biden,DEM,4873,FALSE
Kentucky,Greenup County,Jo Jorgensen,LIB,178,FALSE
Kentucky,Greenup County,Brock Pierce,IND,33,FALSE
Kentucky,Greenup County,Kanye West,IND,28,FALSE
Kentucky,Hancock County,Donald Trump,REP,3145,TRUE
Kentucky,Hancock County,Joe Biden,DEM,1351,FALSE
Kentucky,Hancock County,Jo Jorgensen,LIB,67,FALSE
Kentucky,Hancock County,Kanye West,IND,14,FALSE
Kentucky,Hancock County,Brock Pierce,IND,10,FALSE
Kentucky,Hardin County,Donald Trump,REP,29832,TRUE
Kentucky,Hardin County,Joe Biden,DEM,18101,FALSE
Kentucky,Hardin County,Jo Jorgensen,LIB,753,FALSE
Kentucky,Hardin County,Kanye West,IND,151,FALSE
Kentucky,Hardin County,Brock Pierce,IND,104,FALSE
Kentucky,Harlan County,Donald Trump,REP,9367,TRUE
Kentucky,Harlan County,Joe Biden,DEM,1494,FALSE
Kentucky,Harlan County,Jo Jorgensen,LIB,81,FALSE
Kentucky,Harlan County,Kanye West,IND,16,FALSE
Kentucky,Harlan County,Brock Pierce,IND,13,FALSE
Kentucky,Harrison County,Donald Trump,REP,6334,TRUE
Kentucky,Harrison County,Joe Biden,DEM,2400,FALSE
Kentucky,Harrison County,Jo Jorgensen,LIB,85,FALSE
Kentucky,Harrison County,Brock Pierce,IND,20,FALSE
Kentucky,Harrison County,Kanye West,IND,14,FALSE
Kentucky,Hart County,Donald Trump,REP,6345,TRUE
Kentucky,Hart County,Joe Biden,DEM,1908,FALSE
Kentucky,Hart County,Jo Jorgensen,LIB,76,FALSE
Kentucky,Hart County,Kanye West,IND,22,FALSE
Kentucky,Hart County,Brock Pierce,IND,18,FALSE
Kentucky,Henderson County,Donald Trump,REP,12730,TRUE
Kentucky,Henderson County,Joe Biden,DEM,7639,FALSE
Kentucky,Henderson County,Jo Jorgensen,LIB,244,FALSE
Kentucky,Henderson County,Kanye West,IND,50,FALSE
Kentucky,Henderson County,Brock Pierce,IND,25,FALSE
Kentucky,Henry County,Donald Trump,REP,5843,TRUE
Kentucky,Henry County,Joe Biden,DEM,2142,FALSE
Kentucky,Henry County,Jo Jorgensen,LIB,86,FALSE
Kentucky,Henry County,Kanye West,IND,19,FALSE
Kentucky,Henry County,Brock Pierce,IND,17,FALSE
Kentucky,Hickman County,Donald Trump,REP,1714,TRUE
Kentucky,Hickman County,Joe Biden,DEM,458,FALSE
Kentucky,Hickman County,Jo Jorgensen,LIB,21,FALSE
Kentucky,Hickman County,Brock Pierce,IND,4,FALSE
Kentucky,Hickman County,Kanye West,IND,2,FALSE
Kentucky,Hopkins County,Donald Trump,REP,15757,TRUE
Kentucky,Hopkins County,Joe Biden,DEM,5439,FALSE
Kentucky,Hopkins County,Jo Jorgensen,LIB,226,FALSE
Kentucky,Hopkins County,Kanye West,IND,63,FALSE
Kentucky,Hopkins County,Brock Pierce,IND,24,FALSE
Kentucky,Jackson County,Donald Trump,REP,5450,TRUE
Kentucky,Jackson County,Joe Biden,DEM,605,FALSE
Kentucky,Jackson County,Jo Jorgensen,LIB,33,FALSE
Kentucky,Jackson County,Kanye West,IND,15,FALSE
Kentucky,Jackson County,Brock Pierce,IND,7,FALSE
Kentucky,Jackson County, Write-ins,WRI,6,FALSE
Kentucky,Jefferson County,Joe Biden,DEM,228288,TRUE
Kentucky,Jefferson County,Donald Trump,REP,150619,FALSE
Kentucky,Jefferson County,Jo Jorgensen,LIB,4779,FALSE
Kentucky,Jefferson County,Kanye West,IND,1658,FALSE
Kentucky,Jefferson County,Brock Pierce,IND,749,FALSE
Kentucky,Jessamine County,Donald Trump,REP,17096,TRUE
Kentucky,Jessamine County,Joe Biden,DEM,8567,FALSE
Kentucky,Jessamine County,Jo Jorgensen,LIB,447,FALSE
Kentucky,Jessamine County,Kanye West,IND,92,FALSE
Kentucky,Jessamine County,Brock Pierce,IND,49,FALSE
Kentucky,Johnson County,Donald Trump,REP,8446,TRUE
Kentucky,Johnson County,Joe Biden,DEM,1607,FALSE
Kentucky,Johnson County,Jo Jorgensen,LIB,77,FALSE
Kentucky,Johnson County,Kanye West,IND,31,FALSE
Kentucky,Johnson County,Brock Pierce,IND,25,FALSE
Kentucky,Johnson County, Write-ins,WRI,7,FALSE
Kentucky,Kenton County,Donald Trump,REP,48123,TRUE
Kentucky,Kenton County,Joe Biden,DEM,32265,FALSE
Kentucky,Kenton County,Jo Jorgensen,LIB,1360,FALSE
Kentucky,Kenton County,Kanye West,IND,225,FALSE
Kentucky,Kenton County,Brock Pierce,IND,135,FALSE
Kentucky,Kenton County, Write-ins,WRI,76,FALSE
Kentucky,Knott County,Donald Trump,REP,4779,TRUE
Kentucky,Knott County,Joe Biden,DEM,1412,FALSE
Kentucky,Knott County,Jo Jorgensen,LIB,28,FALSE
Kentucky,Knott County,Brock Pierce,IND,17,FALSE
Kentucky,Knott County,Kanye West,IND,15,FALSE
Kentucky,Knox County,Donald Trump,REP,11010,TRUE
Kentucky,Knox County,Joe Biden,DEM,2111,FALSE
Kentucky,Knox County,Jo Jorgensen,LIB,107,FALSE
Kentucky,Knox County,Kanye West,IND,32,FALSE
Kentucky,Knox County, Write-ins,WRI,13,FALSE
